Asset,Mean daily returns,Lower Conf_Int,Upper Conf_Int
^NSEI,0.000501,6.546465862167385e-05,0.0009359577440349776
^GSPC,0.000517,5.116492597174874e-05,0.000982711171837422
^FTSE,0.000145,-0.00027124894752574133,0.000561189812045565
GC=F,0.000382,-5.360398750235457e-06,0.0007697526142779272
CL=F,-0.000993,-0.004039970317471072,0.0020546935806861092
