Date,CL=F,GC=F,^FTSE,^GSPC,^NSEI
2017-09-22,50.65999984741211,1293.300048828125,7310.60009765625,2502.219970703125,9964.400390625
2017-09-25,52.220001220703125,1306.800048828125,7301.2998046875,2496.659912109375,9872.599609375
2017-09-26,51.880001068115234,1297.0,7285.7001953125,2496.840087890625,9871.5
2017-09-27,52.13999938964844,1283.4000244140625,7313.5,2507.0400390625,9735.75
2017-09-28,51.560001373291016,1285.5,7322.7998046875,2510.06005859375,9768.9501953125
2017-09-29,51.66999816894531,1281.5,7372.7998046875,2519.360107421875,9788.599609375
2017-10-02,50.58000183105469,1272.699951171875,7438.7998046875,2529.1201171875,
2017-10-03,50.41999816894531,1271.5,7468.10009765625,2534.580078125,9859.5
2017-10-04,49.97999954223633,1273.699951171875,7467.60009765625,2537.739990234375,9914.900390625
2017-10-05,50.790000915527344,1269.9000244140625,7508.0,2552.070068359375,9888.7001953125
2017-10-06,49.290000915527344,1271.5999755859375,7522.89990234375,2549.330078125,9979.7001953125
2017-10-09,49.58000183105469,1281.800048828125,7507.89990234375,2544.72998046875,9988.75
2017-10-10,50.91999816894531,1290.5999755859375,7538.2998046875,2550.639892578125,10016.9501953125
2017-10-11,51.29999923706055,1285.800048828125,7533.7998046875,2555.239990234375,9984.7998046875
2017-10-12,50.599998474121094,1293.300048828125,7556.2001953125,2550.929931640625,10096.400390625
2017-10-13,51.45000076293945,1301.5,7535.39990234375,2553.169921875,10167.4501953125
2017-10-16,51.869998931884766,1299.9000244140625,7527.0,2557.639892578125,10230.849609375
2017-10-17,51.880001068115234,1283.0,7516.2001953125,2559.360107421875,10234.4501953125
2017-10-18,52.040000915527344,1279.9000244140625,7542.89990234375,2561.260009765625,10210.849609375
2017-10-19,51.290000915527344,1286.9000244140625,7523.0,2562.10009765625,10146.5498046875
2017-10-20,51.470001220703125,1277.4000244140625,7523.2001953125,2575.2099609375,
