,CL=F,GC=F,^FTSE,^GSPC,^NSEI
CL=F,1.0,0.0399395524463911,0.11997510555976507,0.14007002316941664,0.055260129777817225
GC=F,0.0399395524463911,1.0,-0.017811103205432565,0.025386916859278835,-0.006514862374140339
^FTSE,0.11997510555976507,-0.017811103205432565,1.0,0.5333511216168444,0.4634391531263622
^GSPC,0.14007002316941664,0.025386916859278835,0.5333511216168444,1.0,0.3184622026140712
^NSEI,0.055260129777817225,-0.006514862374140339,0.4634391531263622,0.3184622026140712,1.0
