,CL=F,GC=F,^FTSE,^GSPC,^NSEI
CL=F,1.4240005731394532,0.007233169220447579,0.023334786817208002,0.0304866723956181,0.011239257716990806
GC=F,0.007233169220447579,0.023032479808811842,-0.0004405739192338794,0.0007027325200873709,-0.00016851797913723952
^FTSE,0.023334786817208002,-0.0004405739192338794,0.026565330885992496,0.01585552289065445,0.012874221707845858
^GSPC,0.0304866723956181,0.0007027325200873709,0.01585552289065445,0.03326744770019699,0.009900070404509128
^NSEI,0.011239257716990806,-0.00016851797913723952,0.012874221707845858,0.009900070404509128,0.029049676093636092
