,Annualized Return,Annualized Volatility,Sharpe Ratio
CL=F,-0.25014486883490505,1.1933149513600563,-0.25152192092525205
GC=F,0.09631341915649012,0.1517645538616044,0.30516624585951596
^FTSE,0.03653254892949835,0.16298874466045957,-0.08262810477224813
^GSPC,0.13026838832395674,0.18239366134873494,0.4400832119405967
^NSEI,0.12617922273473925,0.17043965528490174,0.4469571509482366
